Provincia de procedencia (agrupadas por comunidad autónoma);Nacionalidad;Continente de nacimiento;Total
Huesca;Total;Nacidos en España;213
Huesca;Total;Nacidos en la UE27_2020;694
Huesca;Total;Nacidos en el resto de Europa;40
Huesca;Total;Nacidos en África;264
Huesca;Total;Nacidos en América;219
Huesca;Total;Nacidos en Asia;18
Huesca;Total;Nacidos en Oceanía;0
Huesca;Españoles;Total;244
Huesca;Españoles;Nacidos en España;142
Huesca;Españoles;Nacidos en la UE27_2020;8
Huesca;Españoles;Nacidos en el resto de Europa;5
Huesca;Españoles;Nacidos en África;45
Huesca;Españoles;Nacidos en América;43
Huesca;Españoles;Nacidos en Asia;1
Huesca;Españoles;Nacidos en Oceanía;0
Huesca;Extranjeros;Total;1.204
Huesca;Extranjeros;Nacidos en España;71
Huesca;Extranjeros;Nacidos en la UE27_2020;686
Huesca;Extranjeros;Nacidos en el resto de Europa;35
Huesca;Extranjeros;Nacidos en África;219
Huesca;Extranjeros;Nacidos en América;176
Huesca;Extranjeros;Nacidos en Asia;17
Huesca;Extranjeros;Nacidos en Oceanía;0
Teruel;Total;Total;639
Teruel;Total;Nacidos en España;66
Teruel;Total;Nacidos en la UE27_2020;328
Teruel;Total;Nacidos en el resto de Europa;14
Teruel;Total;Nacidos en África;89
Teruel;Total;Nacidos en América;118
Teruel;Total;Nacidos en Asia;23
Teruel;Total;Nacidos en Oceanía;1
Teruel;Españoles;Total;79
Teruel;Españoles;Nacidos en España;49
Teruel;Españoles;Nacidos en la UE27_2020;5
Teruel;Españoles;Nacidos en el resto de Europa;0
Teruel;Españoles;Nacidos en África;3
Teruel;Españoles;Nacidos en América;15
Teruel;Españoles;Nacidos en Asia;7
Teruel;Españoles;Nacidos en Oceanía;0
Teruel;Extranjeros;Total;560
Teruel;Extranjeros;Nacidos en España;17
Teruel;Extranjeros;Nacidos en la UE27_2020;323
Teruel;Extranjeros;Nacidos en el resto de Europa;14
Teruel;Extranjeros;Nacidos en África;86
Teruel;Extranjeros;Nacidos en América;103
Teruel;Extranjeros;Nacidos en Asia;16
Teruel;Extranjeros;Nacidos en Oceanía;1
Zaragoza;Total;Total;9.108
Zaragoza;Total;Nacidos en España;1.121
